threshold,tpr,fpr,precision,f1,n,secutil
0.3,1.0,0.06292749658002736,0.9717618170656844,0.9856787048567871,2314,0.9236524115279058
0.35,1.0,0.06292749658002736,0.9717618170656844,0.9856787048567871,2314,0.9236524115279058
0.4,1.0,0.06292749658002736,0.9717618170656844,0.9856787048567871,2314,0.9236524115279058
0.45,1.0,0.060191518467852256,0.9729563614013522,0.9862928348909658,2314,0.9269263715049157
0.5,1.0,0.060191518467852256,0.9729563614013522,0.9862928348909658,2314,0.9269263715049157
0.55,1.0,0.058823529411764705,0.9735547355473555,0.9866001869741352,2314,0.9285648818580096
0.6,1.0,0.058823529411764705,0.9735547355473555,0.9866001869741352,2314,0.9285648818580096
0.65,1.0,0.05471956224350205,0.9753542821934689,0.9875233936369308,2314,0.9334865458319004
0.7,1.0,0.05471956224350205,0.9753542821934689,0.9875233936369308,2314,0.9334865458319004
0.75,1.0,0.0533515731874145,0.9759556103575833,0.9878315132605304,2314,0.9351291479839768
0.8,1.0,0.0533515731874145,0.9759556103575833,0.9878315132605304,2314,0.9351291479839768
0.85,1.0,0.05198358413132695,0.9765576804441702,0.9881398252184769,2314,0.9367727754807175
0.9,1.0,0.05198358413132695,0.9765576804441702,0.9881398252184769,2314,0.9367727754807175
0.95,1.0,0.04514363885088919,0.9795792079207921,0.9896842763363551,2314,0.9450063267890231
